2000 2000
362 985370967
591 88737230
1212 538766288
1714 377704850
917 476441178
952 911592963
1319 226167747
863 464865753
609 620256134
1989 87443659
533 71417761
334 195844602
1350 1810908
999 985250676
1785 171781721
1259 88961430
1231 482100215
311 426483886
1819 460641086
1726 743749060
1409 670967722
1395 459922462
651 412146194
1132 304102314
1772 111563424
128 489511479
1117 509753166
464 196226545
249 150848897
51 883288862
508 919785191
939 591194787
215 73113868
920 440002440
937 272315920
539 411035757
1037 817383998
1626 659503671
968 1531349
476 243196721
1101 15854463
1699 601822613
1641 806495836
1877 5458314
791 63020963
1534 389761940
635 943952551
1520 702676766
374 130540536
979 10697124
1056 667133815
446 987974870
767 228763876
253 808691803
1556 794156024
810 6014378
1080 44801185
248 923740459
1281 25872962
1545 446168771
1408 362999082
1775 857823575
1408 944729444
246 196729692
1114 765543777
312 274603852
1123 780289288
282 846994231
48 915514371
1577 314302171
1039 640783901
1848 53256412
983 98041460
1035 62206728
1798 430818393
1425 140859496
621 210757505
485 63548849
776 61170327
319 545100874
349 565801255
1773 663357917
1866 564784136
1408 614114816
833 657200905
587 610265043
1199 844037757
1179 6251778
1884 959112058
214 714909335
655 736075976
1502 557171932
1825 177369569
401 483464820
1596 9014650
468 532657647
888 356581129
505 811060305
1840 215964411
193 67684882
1432 27599404
1926 329414635
1491 47968038
1893 838414648
1007 525436990
1029 71206773
1373 628303462
1481 8996768
91 808443472
1240 763469705
835 803055474
1513 820648486
542 138630842
458 178273198
1322 423342090
766 78543093
274 309584592
449 936506851
1219 165056502
19 922169674
127 778894108
648 572557000
835 897546287
1510 694708384
1354 828114825
1153 763616991
736 818415129
1512 60171363
1811 328284835
857 141747546
1930 235814037
1959 80033578
1675 308943013
1076 56932316
1110 307169431
909 385393073
945 441737532
1570 232739232
2000 140925055
491 86682431
184 84851245
1607 122789825
1513 397173003
1470 451802887
635 654751351
1935 495983462
1218 963372519
788 564383653
1559 981124843
1165 781342565
416 119282967
790 50537816
467 667573695
1751 69375140
613 307650998
899 657698545
840 802879831
1736 159858389
1533 373145164
1105 628092118
380 65781664
1476 809998846
1070 323727553
1565 192799871
171 681096091
1039 725114937
98 334757107
1497 549843736
1536 680428226
1861 171650300
1525 14840829
1291 384232494
1614 492553576
877 390672098
1460 261646662
528 455590453
1355 418680116
67 197251606
518 572624991
1400 291630715
1923 643269216
450 224805569
1297 522915227
507 328647061
633 468164007
148 4925370
703 604535322
196 823272028
905 305658774
889 6098192
1908 66157363
1047 253614100
1374 382043671
1526 279991754
234 942266293
1626 973708056
307 157868318
715 23914547
35 572051069
1855 494924022
703 139461260
385 955274901
553 638912552
980 135347842
1190 856559166
1919 350019801
1963 755721752
1598 483538025
746 549378535
748 908860907
331 682214589
1224 701458303
3 825476020
1487 23130367
212 324750247
1713 30746421
702 370777754
980 451599423
1094 268176043
1506 892204417
570 358874948
1913 285872296
1888 35247998
1519 565111234
255 230794687
1000 522957580
72 43610525
1225 504731934
1685 854866263
1263 802284059
1571 966517836
1711 19409174
1161 862847268
1981 290183570
897 138614206
307 6495914
135 510309201
1249 414531949
1378 235592410
1231 50285169
1905 933131400
708 850667651
1619 117874656
1532 891246815
1388 353976188
311 438073632
1926 598038986
1451 145602369
51 17134249
108 691491944
47 157528029
1022 298368316
327 635796973
1336 568870966
1414 225717330
45 757222232
217 957259022
1151 65399393
1185 162925167
1357 872538246
1742 698321558
1878 870921478
1309 87872250
268 566193586
121 266851853
816 194145829
318 873606519
750 540045853
1944 440283770
195 267272719
1922 61559153
1913 592964024
1324 503815796
321 241385518
281 66515059
565 278597769
1020 397032517
519 297726038
841 736402176
1515 342816263
1226 540217301
1694 806329541
80 36028721
1142 658040814
1378 879222825
1381 173404315
866 191334594
1712 903104426
53 38638697
1452 539358664
492 594039900
637 147455933
749 107593045
1265 437158762
422 325060727
323 16364115
726 10136760
1776 493282236
696 483500536
1755 710497937
1466 603432539
1883 384032582
1504 578076301
1736 65620918
1240 704633458
342 533079987
1972 65118230
62 468054177
1809 704256605
1563 407235520
1112 236392392
1299 459224878
470 614116911
1934 153798578
1356 561499538
1438 750890521
347 936391184
478 703243509
969 976817485
585 754250795
1856 859651070
849 374124170
930 660550003
1900 124665223
1383 769741845
1447 352286642
558 549050930
37 116636978
1273 170765216
785 259711238
438 745945201
30 964281692
1121 250938175
669 769380659
578 449054736
99 532659513
398 954743376
1864 688331866
1751 405472271
242 440844920
425 429162842
38 204226806
1120 461614738
1489 782247505
1002 626015100
1801 373268791
1775 933460715
10 217688555
997 188779682
351 11390033
1213 556458045
1201 508096833
992 20157355
674 756955353
158 657573113
1959 57449358
727 38885320
1185 640139125
1 839484026
1384 508931620
320 904669900
639 282680
1342 238159425
670 125569549
58 79011372
1701 62974601
1556 799879054
940 952041985
608 814665361
715 347843348
990 372170150
368 368218835
387 351319057
1817 433631787
332 538761515
782 44094494
28 771168054
1615 314458178
884 839205052
1110 947668250
606 718952598
978 50424100
1340 146274092
1533 385559976
1939 60751816
280 789184535
1704 678232123
1176 293123405
663 288747661
920 765370791
1361 208390526
1652 303883364
903 204283836
615 53383255
1672 558706676
752 14281402
1519 929153969
557 820797464
1600 618058114
1164 939454756
1474 731986228
1046 875561881
1610 582605399
802 223057900
51 82778082
1084 743895188
1350 395524545
1661 51995884
1581 925133462
67 41343432
629 291506517
713 258022317
1214 887401755
285 864078329
1057 997567341
1963 747426038
642 12228542
1553 530344823
799 752553947
1293 425228235
1478 389692259
1762 198209256
839 689499025
1380 746310081
1065 21440992
610 201710383
525 288069010
732 498720554
533 84564303
1910 71919335
871 182969134
787 915324741
988 67366197
138 334680148
1250 879661928
1657 30030588
184 719734314
1289 73067339
1820 669758723
581 22345712
346 991939620
435 25961327
1906 665030047
1433 56945795
23 595067360
746 52273247
1632 26817293
1533 367870588
1837 28894815
1065 372439319
850 538804654
1726 811357839
859 572611546
1539 436803546
232 624462004
1370 61760620
434 794423616
1930 5873598
802 884341012
1046 480337754
1505 279864344
1548 103460849
